OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy
SWAA2024041766895,3/8/2024 0:00:00,4/17/2024 15:53:56,SWAA,SWAA,A,SW,29,A,5414,O,,,K,,,,IN,9,8568Z,BOEING,7378H4,64248,19712.0,9988.0,,,,,,,,,,,,FASTENER,UNKNOWN,,LOOSE,NR 1 INLET COWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 INLET COWL OUTER LIP SKIN HAS SEVERAL LOOSE FASTENERS AT THE 6 O'CLOCK POSITION (MKD)<[01] REMOVED DISCREPANT FASTENERS I.A.W SRM 51-40-02.;[02] C/W NDT PER PART 6 51-00-00 PROCEDURE 23 AND PART 6 53-30-00 PROCEDURE 3. NO DEFECTS NOTED.;[03] INSTALLED FIRST OVERSIZE FASTENERS I.A.W SRM 54-10-01-1A-2.;[04] C/W CA#3 DUSTIN WYATT (TECHNICIAN); 22-MAR-2024 22:02 UTC INSTALLED FIRST OVERSIZE FASTENERS I.A.W SRM 54-10-01-1A-2;[05] RII- C/W CA#3 DUSTIN WYATT (TECHNICIAN); 22-MAR-2024 22:02 UTC INSTALLED FIRST OVERSIZE FASTENERS I.A.W SRM 54-10-01-1A-2
SCNA20240426209,3/13/2024 0:00:00,4/26/2024 13:58:34,SCNA,SCNA,A,GL,15,A,5347,W,,,K,,,,IN,9,7907A,BOEING,73783N,32577,56582.0,40935.0,,,,,,,,,,,BOEING,SEAT TRACK,UNKNOWN,,MECHANIC ERROR,ZONE 200,,,,,,,,,,,,,,,787+13,787+19,,,,,,,,,45.5,R,,,,,,,,SEAT TRACK FLANGE,"UPPER FUSELAGE AT STA 787+16"", RBL 47"", SEAT TRACK FLANGE WITH DOUBLE HOLE. REPAIRED MAIN CARGO CABIN SEAT TRACK FLANGE SECTION BETWEEN STA 787+13"" - STA 787+19"" COMMON RBL=45.5""."
AALA202403042078,3/2/2024 0:00:00,3/4/2024 11:36:01,AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,930AN,BOEING,737823,29529,64037.0,26805.0,,,,,,,,,,,BOEING,FITTING,111A24012,,CRACKED,BS 540,,,,,,,,,,,,,,,540,,,,,,,,,,54.60,L,,,,,,1.0,,,AIRCRAFT IN BASE MAINTENANCE: CRACK IN CENTER WING BOX FORWARD SPAR UPPER SHEAR FITTING AT BS 540 AND LBL 54.60. REPLACED SHEAR FITTING PER AARD 57-14-00-1 REPAIR 1.
AALA202404013179,3/27/2024 0:00:00,4/1/2024 8:26:59,AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,936AN,BOEING,737823,29532,64185.0,26921.0,,,,,,,,,,,BOEING,FITTING,111A24011,,CRACKED,BS 540 LBL 41,,,,,,,,,,,,,,,540,,,,,,,,,,40.87,L,,,,,1.0,1.0,,,AIRCRAFT IN BASE MAINTENANCE: CRACK IN CENTER WING BOX FORWARD SPAR UPPER SHEAR FITTING AT BS 540 AND LBL 40.87. REPLACED SHEAR FITTING PER AARD 57-14-00-1 REPAIR 1. THIS ACCOMPLISHES BOEING SB-737-57-1309.
AALA202404010236,3/28/2024 0:00:00,4/1/2024 8:27:00,AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,936AN,BOEING,737823,29532,64185.0,26921.0,,,,,,,,,,,BOEING,FITTING,111A24011,,CRACKED,BS 540 LBL 6,,,,,,,,,,,,,,,540,,,,,,,,,,6.14,L,,,,,2.0,1.0,,,AIRCRAFT IN BASE MAINTENANCE: CRACK IN CENTER WING BOX FORWARD SPAR UPPER SHEAR FITTING AT BS 540 AND LBL 6.14. REPLACED SHEAR FITTING PER AARD 57-14-00-1 REPAIR 1. THIS ACCOMPLISHES BOEING SB-737-57-1309.
AALA202403040124,3/2/2024 0:00:00,3/4/2024 14:42:02,AALA,AALA,A,SW,21,A,3350,O,,,K,,,,NR,V,951AA,BOEING,737823,29538,62189.0,25982.0,,,,,,,,,,,,LIGHT,UNKNOWN,,DETACHED,SEAT 14C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS GROUNDED: EMERGENCY EXIT LIGHT ON SEAT 14C OUT OF HOUSING AND DANGLING BY WIRE. **SUPPLEMENTAL REPORT WILL BE SUBMITTED**(OPEN).
AALA202403042880,3/3/2024 0:00:00,3/4/2024 14:42:02,AALA,AALA,A,SW,21,A,2560,O,,,O,,,,NR,9,973AN,BOEING,737823,29548,64496.0,27004.0,,,,,,,,,,,,TUBE,UNKNOWN,,MISSING,GIRT BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: FORWARD ENTRY GIRT BAR MISSING RED TAPE. REINSTALLED RED HEAT SHRINK TUBING ON FORWARD ENTRY GIRT BAR. PER WORKCARD 2523J012-001.
ASAA2024033048734,3/30/2024 0:00:00,4/1/2024 19:16:51,ASAA,ASAA,A,NM,2,A,5210,O,,,O,,,,TX,O,581AS,BOEING,737890,35188,59116.0,17692.0,,,,,,,,,,,,DOOR,UNKNOWN,,UNKNOWN,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA REPORTS L2 DOOR DIFFICULT TO CLOSE. GROUNDED - YES. CLOSING TORQUE FOUND TO BE WITHIN LIMITS IAW 52-13-00.
SCNA20240402182,3/27/2024 0:00:00,4/2/2024 10:09:09,SCNA,SCNA,A,GL,15,A,5311,O,,,K,,,,IN,O,7919A,BOEING,7378,32607,53150.0,26077.0,,,,,,,,,,,BOEING,FRAME,146A12448,,DAMAGED,BS 727J S17L,,,,,,,,,,,,,,,727J,,17L,L,,,,,,,,,,,,,,,,,"DURING STRUCTURAL INSPECTION PER SCA TASK CARD # 534100000_P1-OP-UP-UF/005, THAT IS RELATED TO BOEING TASK CARD 53-410-00-01, IT WAS REPORTED (QTY-1) FASTENER HOLE ELONGATED AT FRAME ASSY P/N 146A1244-8 I/B FLANGE WHERE ATTACHES THE INNER CHORD, ON STA 727J STR 17LH LEVEL. ACCOMPLISHED THE REPAIR OF THE AFFECTED FRAME ASSY P/N 146A1244-8 I/B FLANGE PER COOPESA ENGINEERING ORDER COO-EO-2024-19647-R00, DATED MARCH 12, 2024, AND FINAL APPROVAL PER FAA FORM 8100-9 PROVIDED BY BOEING."
SCNA20240402175,3/27/2024 0:00:00,4/2/2024 9:07:42,SCNA,SCNA,A,GL,15,A,5330,W,,,K,,,,IN,O,7919A,BOEING,7378,32607,53150.0,26077.0,,,,,,,,,,,BOEING,SKIN,143A313128,,HANDLER ERROR,BS 500C S8-9R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"THE AIRCRAFT JACKING PROCESS, THE UPPER FUSELAGE AT CROWN AREA WAS TOUCHED BY ADJACENT SCAFFOLDING, AND CAUSED DAMAGES AT TWO SEPARATED AREAS AS FOLLOWS: DAMAGE LOCATION 1 DENT #1 LOCATED AT STA 500C+20.5 AND BETWEEN STR 8RH AND STR 9RH. DAMAGE LOCATION 2- DENT #2 WITH GOUGE LOCATED BETWEEN STA 480 AND STA 500 AND BETWEEN STR-8RH AND STR-10RH. ACCOMPLISHED THE SKIN DENT -1 REPAIR ""LEFT AS IS"" AS PER COOPESA ENGINEERING ORDER # COO-EO-2024-19643-R00, DATED MARCH 12, 2024, BOEING REPAIR INSTRUCTIONS ""LEAVE AS IS"" AND FINAL APPROVAL PER RDR DOCUMENT PROVIDED BY BOEING. ACCOMPLISHED THE SKIN DENT -2 REPAIR ""SKIN CUT OUT"" AS PER COOPESA ENGINEERING ORDER # COO-EO-2024-19642-R00, DATED MARCH 12, 2024, BOEING REPAIR INSTRUCTIONS ""SKIN CUT OUT"" AND FINAL APPROVAL PER FAA FORM 8100-9 PROVIDED BY BOEING."
AALA202403067310,3/4/2024 0:00:00,3/6/2024 11:21:03,AALA,AALA,A,SW,21,A,2530,W,B,,O,,,,NR,O,972AN,BOEING,737823,30097,63840.0,26799.0,,,,,,,,,,,,OVEN,UNKNOWN,,DIRTY,FWD GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: FLIGHT ATTENDANT REPORTS THAT THE FORWARD GALLEY OVEN NUMBER 2 SMELLS LIKE CHEMICALS OR BURNT PLASTIC WHEN OPERATING. **SUPPLEMENTAL REPORT FOR (AALA202403057310): CLEANED FORWARD GALLEY OVEN NUMBER 2 AS REQUIRED. PER AMM 25-32-02-100-801. THERE IS NO LONGER ANY TYPE OF SMELL COMING FROM THE OVEN.**(CLOSED).
AALA202403065909,3/5/2024 0:00:00,3/6/2024 12:28:30,AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,937AN,BOEING,737823,30082,64028.0,26888.0,,,,,,,,,,,BOEING,FITTING,111A24011,,CRACKED,BS 540,,,,,,,,,,,,,,,540,,,,,,,,,,6.14,L,,,,,,1.0,,,AIRCRAFT IN BASE MAINTENANCE: CRACK IN CENTER WING BOX FORWARD SPAR UPPER SHEAR FITTING AT BS 540 AND LBL 6.14. REPLACED SHEAR FITTING PER AARD 57-14-00-1 REPAIR 1. THIS ACCOMPLISHES BOEING SB B737-57-1309.
SWAA2024040364051,3/15/2024 0:00:00,4/3/2024 7:21:12,SWAA,SWAA,A,SW,29,A,5410,O,,,K,,,,IN,9,8626B,BOEING,7378H4,36894,33609.0,15962.0,,,,,,,,,,,BOEING,WEB,UNKNOWN,,CRACKED,NR 1 NACELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1ENG. INBD.COWL;PNL. 414; WEB SUPPORT ATTACHMENT AT OIL SERV. DOOR OPENING CRACKED.<[01] REMOVED AND REPLACED WEB PER CMM 71-13-30.;[02] INSPECTED CA #1
SWAA2024030658923,3/5/2024 0:00:00,3/6/2024 16:26:13,SWAA,SWAA,A,SW,29,A,5330,O,,,K,,,,IN,9,8565Z,BOEING,7378H4,42533,19940.0,10049.0,,,,,,,,,,,,SKIN,UNKNOWN,,CRACKED,FUSELAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GROUND POWER PANEL CUTOUT CRACKED AT THE SIX O CLOCK POSITION.<[01] REMOVED DAMAGE PER SRM 53-10-15-2R-4;[02] PERFORMED .040 INSURANCE CUT AFTER NDT PER SRM 53-10-15-2R-4;[03] PREFORMED SURFACE HFEC INSPECTION PART 6 ; 51-00-00 PROCEDURE 23;[04] INSPECTED WORK ABOVE;[05] FABRICATED REPAIR PARTS PER SRM 53-10-15-2R-4;[06] INSPECTED WORK ABOVE;[07] OK TO INSTALL REPAIR PARTS;[08] REPAIRED GROUND POWER PANEL REF SRM 53-10-15-2R-4.;[09] REPAIRED GROUND POWER PANEL REF SRM 53-10-15-2R-4. C/W INSPECTION
AALA202404040868,3/14/2024 0:00:00,4/4/2024 11:39:04,AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,940AN,BOEING,737823,30598,67743.0,28385.0,,,,,,,,,,,,TRANSITION PANEL,UNKNOWN,,CORRODED,ZONE 100 - FUSE,,,,,,,,,,,,,,,727H,727L+6,25,L,,,,,,,,,,,,,,,2.0,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON AFT CARGO COMPARTMENT FLOOR STRUCTURE TRANSITION PANEL FROM BS 727H TO BS 757L PLUS 6 INCHES, LBL 21. REPLACED TRANSITION PANEL PER AARD 51-00-05-1."
SWAA2024040467495,3/25/2024 0:00:00,4/4/2024 16:57:22,SWAA,SWAA,A,SW,29,A,3350,O,,,K,,,,IN,9,8601C,BOEING,7378H4,38874,40322.0,18721.0,,,,,,,,,,,,LENS,UNKNOWN,,MISSING,EMERGENCY LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAVATORY A EXIT SIGN TO L-1 DOOR LENS MISSING<[01] INSTALLED LAVATORY A EXIT SIGN TO L-1 DOOR LENS; B 737-800 AMM 33-5101-860-802;[02] INSTALLED LAVATORY A EXIT SIGN TO L-1 DOOR LENS; B 737-800 AMM 33-51-01-860-802;[03] STEP 1 EIE. VERIFIED CORRECTED STEP 2.;[04] STEPS 1; 2; AND 3 ENTERED IN ERROR.;[05] INSTALLED LAVATORY A EXIT SIGN TO L-1 DOOR LENS; B 737-800 AMM 33-51-01-960-802;[06] VERIFIED STEP 5.
SWAA2024040459037,3/4/2024 0:00:00,4/4/2024 16:57:27,SWAA,SWAA,A,SW,29,A,5321,O,,,K,,,,IN,9,8601C,BOEING,7378H4,38874,40322.0,18721.0,,,,,,,,,,,,FLOOR PANEL,UNKNOWN,,DELAMINATED,MAIN CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIN CABIN STA. 890 FLOOR PANEL#242SF UPPER SURFACE FOUND DELAMINATED<[01] FOUND FLOOR PANEL 242SF OUT OF LIMITS AS PER SRM 53-00-50-1A-1. RECEIVED NEW PANEL. REF. CLOSING CARD TTG8Q00RDFXP.
SWAA2024030860637,3/8/2024 0:00:00,3/8/2024 15:43:38,SWAA,SWAA,A,SW,29,A,5754,O,,,K,,,,IN,9,8512U,BOEING,7378H4,38816,24298.0,12005.0,,,,,,,,,,,,SKIN,UNKNOWN,,DELAMINATED,RT NR 8 SLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8 SLAT; O/B LOWER SIDE DELAMINATED<[01] DELAMINATING MEASURES APPROX 1.75? X 3.5?;[02] COMPLIED WITH EA 24-157-00623 EA-COMPONENT (EA ATTACHED TO A FAULT FOR A TRACKED COMPONENT)
AALA202403116201,3/9/2024 0:00:00,3/11/2024 14:12:41,AALA,AALA,A,SW,21,A,5300,E,,,A,,,,CL,O,903NN,BOEING,737823,31153,33652.0,14292.0,,,,,,,,,,,,UNKNOWN,,,VIBRATION,FUSELAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED DUE TO: ON CLIMB OUT, AIRCRAFT HAD HIGH VIBRATIONS AT HIGH POWER SETTINGS. FLIGHT CONTROLS FELT MUSHY AND AUTOPILOT KICKED OFF TWICE AFTER GEAR AND FLAPS WERE RETRACTED; AIRCRAFT AIR INTERRUPTED BACK TO AND LANDED SAFELY AT TPA. **SUPPLEMENTAL REPORT WILL BE SUBMITTED**(OPEN)."
SWAA2024031161544,3/10/2024 0:00:00,3/11/2024 16:27:37,SWAA,SWAA,A,SW,29,A,2560,L,,,K,,,,IN,C,1808U,BOEING,7378,60186,3942.0,2043.0,,,,,,,,,,,,FLASHLIGHT,,,NO TEST,COCKPIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLIGHT DECK FLASHLIGHT WILL NOT TEST.<[01] RE-POSITIONED FLASHLIGHT IN MOUNTING BRACKET; FLASHLIGHT PUSH-TO-TEST FUNCTION PASSED. INSTALLED NEW TAMPER SHIELD. REF. AMM 25-64-00.
SWAA2024031161168,3/9/2024 0:00:00,3/11/2024 16:27:39,SWAA,SWAA,A,SW,29,A,2560,O,,,O,,,,TX,O,8511K,BOEING,7378H4,36670,24241.0,12046.0,,,,,,,,,,,,FLASHLIGHT,,,NO TEST,FWD CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAS FOWARD INBOARD FLASHLIGHT NOT TESTING<[01] 01 - REPLACED FWD F/A FLASHLIGHT PER [AMM 25-64-00-201-NG (DETACHABLE EMERGENCY EQUIPMENT - MAINTENANCE PRACTICES - PERMANENT)]
AALA202404095212,3/31/2024 0:00:00,4/9/2024 12:13:01,AALA,AALA,A,SW,21,A,5247,O,,,K,,,,IN,V,891NN,BOEING,737823,33315,35147.0,15045.0,,,,,,,,,,,,ANGLE,UNKNOWN,,CORRODED,APU DOOR,,,,,,,,,,,,,,,1110,,,,,,,,,,,,,,,,,,2.0,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON APU DOOR INSULATION ATTACH ANGLE AT RIB 3, BS 1110. REPLACED ANGLE PER SRM 51-10-02."
AALA202404091699,3/31/2024 0:00:00,4/9/2024 12:13:01,AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,939AN,BOEING,737823,30083,65956.0,27924.0,,,,,,,,,,,BOEING,WEB,146A8123U25,,CORRODED,ZONE 100 - FUSE,,,,,,,,,,,,,,,807,847,25,R,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON AFT CARGO COMPARTMENT DOOR THRESHOLD WEB FROM BS 807 TO BS 847, S25R. REPLACED WEB PER AARD 51-00-05-1."
AALA202403134251,3/12/2024 0:00:00,3/13/2024 13:39:47,AALA,AALA,A,SW,21,A,3350,O,,,O,,,,NR,9,807NN,BOEING,737823,31077,42483.0,17764.0,,,,,,,,,,,,LENS,UNKNOWN,,MISSING,EMERGENCY LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: AFT GALLEY EMERGENCY EXIT LIGHT COVER MISSING. REMOVED AND REPLACED AFT GALLEY EMERGENCY EXIT LIGHT ASSEMBLY. PER AMM 33-51-01. FUNCTIONAL CHECK GOOD CHECK GOOD.
SWAA2024040958875,3/4/2024 0:00:00,4/9/2024 17:53:58,SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,9,8307K,BOEING,7378H4,36987,39033.0,18128.0,,,,,,,,,,,BOEING,TIE CLIP,UNKNOWN,,CRACKED,BS 277 S10R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRACKED TIE CLIP LOCATED BS 277 AND S-10R. REPLACED TIE CLIP IAW SRM 51-40-02-0G-0 & DWG 141A110 SHEET 39 REV -. MEASURED CRACK L: 0.293.
SWAA2024040958043,3/1/2024 0:00:00,4/9/2024 17:54:01,SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,9,8307K,BOEING,7378H4,36987,39033.0,18128.0,,,,,,,,,,,BOEING,ANGLE,UNKNOWN,,CRACKED,BS 500G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CRACKED ANGLE, BS 500G, STR 26R IN FWD CARGO BAY. REPLACED THE ANGLE IAW SRM 51-40-02, SRM 51-10-02, ITEM 9, & DWG 143A7505, SHEET 108."
SWAA2024041063461,3/14/2024 0:00:00,4/10/2024 15:40:43,SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,9,8317M,BOEING,7378H4,36992,38198.0,17844.0,,,,,,,,,,,BOEING,FLOOR SUPPORT,UNKNOWN,,ELONGATED,BS 500A-500B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELONGATED HOLE ON WEB-INTERCOSTAL LOC. BTW BS 500A TO BS 500B LBL 22 WL 156 AT FWD CARGO COMPARTMENT 2024-165922<[01] REPLACED WEB-INTERCOSTAL AND FASTENERS LOC. BTW BS 500A TO BS 500B LBL 22 WL 156 AT FWD CARGO COMPARTMENT IAW B737-800 SRM 51-40-02 AND DWG 143A7505; SHEET 108; REV - .SEE INDIVIDUAL SIGNS-OFF BELOW.;[02] REPLACED WEB-INTERCOSTAL AND FASTENERS LOC. BTW BS 500A TO BS 500B LBL 22 WL 156 AT FWD CARGO COMPARTMENT IAW B737-800 SRM 51-40-02 AND DWG 143A7505; SHEET 108; REV - .SEE INDIVIDUAL SIGNS-OFF BELOW.
SWAA2024031463523,3/14/2024 0:00:00,3/14/2024 15:27:20,SWAA,SWAA,A,SW,29,A,3350,O,,,O,,,,TX,9,8310C,BOEING,7378H4,38807,38695.0,17944.0,,,,,,,,,,,,LAMP,UNKNOWN,,INOPERATIVE,EMERGENCY LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST OFFICER SIDE AFT EMERGENCY EXIT ROW LIGHT INOP<[01] R&R LAMP ASSY PER M/M 33-51-01
SWAA2024031463149,3/14/2024 0:00:00,3/14/2024 15:27:37,SWAA,SWAA,A,SW,29,A,3350,L,,,K,,,,IN,C,8733M,BOEING,7378,60710,9768.0,4614.0,,,,,,,,,,,,BATTERY PACK,NOTREPORTED,,NO TEST,EMERGENCY LIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFT EMERGENCY POWER BATTERY PACK AT STA 952 WL 290 LBL 14 WILL NOT HOLD CAPACITY FOR 15 MINS<[01] RNR AFT L/H BATTERY PACK PER AMM 33-51-06
SWAA2024041160300,3/7/2024 0:00:00,4/11/2024 15:31:01,SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,9,8321D,BOEING,7378H4,36687,37973.0,17662.0,,,,,,,,,,,BOEING,SIDEWALL SUPPORT,UNKNOWN,,CRACKED,BS 312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORWARD CABIN WET AREA SIDEWALL SUPPORT FRAME FLANGE SMALL CRACK AT RADIOUS CUT ABOVE L-1 DOOR CUTOUT BS 312. PERFORMED A REPAIR AT STA 312 PER EA M-22-153-01244.
SWAA2024041159046,3/5/2024 0:00:00,4/11/2024 15:31:00,SWAA,SWAA,A,SW,29,A,5753,O,,,K,,,,IN,V,8321D,BOEING,7378H4,36687,37973.0,17662.0,,,,,,,,,,,BOEING,FAIRING,UNKNOWN,,DAMAGED,RT FLAP TRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT NR 6 FLAP TRACK AFT FAIRING WITH ELONGATED HOLES AT OB MID SEAL INSTALLATION. REPAIRED DAMAGE AND RESTORED AREA AT NR 6 FLAP TRACK FAIRING O/B MID SEAL AREA IAW SRM 51-70-04-2R-9.
SWAA2024031462370,3/13/2024 0:00:00,3/14/2024 15:27:22,SWAA,SWAA,A,SW,29,A,5720,O,,,K,,,,IN,9,8638A,BOEING,7378H4,36911,32770.0,15699.0,,,,,,,,,,,BOEING,WEB,NOTREPORTED,,CRACKED,RT WING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT WING DEFLECTION CONTROL RIB LOWER WEB IS CRACKED AT UPPER OUTBOARD FASTENER TO FIXED TRAILING EDGE<[01] REMOVED WEB REF SRM 51-40-02.;[02] REPLACED RIGHT WING DEFLECTION CONTROL RIB LOWER WEB PER SRM 51-40-02.
AALA202403158048,3/14/2024 0:00:00,3/15/2024 12:05:26,AALA,AALA,A,SW,21,A,2120,B,,,O,,,,CL,O,982AN,BOEING,737823,31067,43889.0,18188.0,,,,,,,,,,,,AIR FILTER,NOTREPORTED,,DIRTY,CABIN AIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS GROUNDED: SMOKE ODOR FUME EVENT SUSPECT RECIRC FILTERS. FOUND RECIRC FILTERS VERY DIRTY. REPLACED LEFT (AALA202403158048) AND RIGHT (AALA202403157263) HAND RECIRC FILTERS. PER AMM 21-25-01.
SWAA2024041164758,3/17/2024 0:00:00,4/11/2024 15:31:10,SWAA,SWAA,A,SW,29,A,5514,O,,,K,,,,IN,9,8689C,BOEING,7378H4,36658,26558.0,12997.0,,,,,,,,,,,,SEAL,UNKNOWN,,CRACKED,HORIZONTAL STAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LH HORIZONTAL STAB UPPER SLIDER SEAL IS CRACKED<[01] REMOVED L/H HORIZONTAL STAB UPPER SLIDER SEAL PER AMM 53-31-31;[02] ASSEMBLED THE L/H HORIZONTAL STAB UPPER SLIDER SEAL PER AMM 53-31-31.;[03] NEW L/H HORIZONTAL STAB UPPER SLIDER SEAL PUT IN PLACE. PER AMM 53-31-31. COMPLETION OF INSTALLATION STILL REQUIRED.;[04] INSTALLED L/H HORIZONTAL STAB UPPER SLIDER SEAL PER AMM 53-31-31.;[05] 02 - INSPECTED PER [AMM 53-31-31-401 CONFIG 1-NG (STABILIZER TO BODY FRONT SPAR SLIDING SEAL - REMOVAL/INSTALLATION - PERMANENT)]
AALA202403187923,3/17/2024 0:00:00,3/18/2024 7:03:21,AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,833NN,BOEING,737823,31093,40797.0,17138.0,,,,,,,,,,,,WEB,NOTREPORTED,,CRACKED,BS 334 S27L,,,,,,,,,,,,,,,334,,27,L,,,,,,,7,L,,,,,,1.0,,,"AIRCRAFT IN BASE MAINTENANCE: CRACK IN EQUIPMENT DOOR CUTOUT WEB AT BS 334, S27L, LBL 7. REPLACED WEB PER SRM 53-10-15-01."
SWAA2024041559511,3/5/2024 0:00:00,4/15/2024 16:36:41,SWAA,SWAA,A,SW,29,A,5315,O,,,K,,,,IN,9,8567Z,BOEING,7378H4,36928,19775.0,9994.0,,,,,,,,,,,BOEING,FLOORBEAM,UNKNOWN,,CORRODED,BS 947 RBL 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORROSION ON FLOOR BEAM AT STA 947.5 AND RBL 24.75 LAV HARD POINT<[01] REMOVED CORROSION AT STA 947 RBL 24; ORIGINAL THICKNESS .180' REMOVED .045' REMAINING MATERIAL THICKNESS .135' REF B737 SRM 53-70-51-1A-1 REMOVED AND REINSTALLED LAV HARDPOINT AT STA 947.5 RBL 24.75 REF BAC DWG 147A5650 AND B737NG SRM 51-40-02 ALL OTHER REPAIR WORK ACCOMPLISHED ON CUSTOMER CARD TTG8Q00S2B45 AND HAECO CARD 42283.;[02] VERIFIED REMOVED CORROSION AT STA 947 RBL 24; ORIGINAL THICKNESS .180' REMOVED .045' REMAINING MATERIAL THICKNESS .135' REF B737 SRM 53-70-51-1A-1 REMOVED AND REINSTALLED LAV HARDPOINT AT STA 947.5 RBL 24.75 REF BAC DWG 147A5650 AND B737NG SRM 51-40-02 ALL OTHER REPAIR WORK ACCOMPLISHED ON CUSTOMER CARD TTG8Q00S2B45 AND HAECO CARD 42283.
DALA2024032203683,3/21/2024 0:00:00,3/22/2024 18:58:00,DALA,DALA,A,SO,27,A,5311,O,,,K,,,,IN,9,388DA,BOEING,737832,30375,74228.0,29842.0,,,,,,,,,,,BOEING,FRAME,UNKNOWN,,CRACKED,BS 827 S8-9R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT 3718, RH FRAME STA 827 WITH CRACK BTW S-8R AND S-9R. CORRECTIVE ACTION: RH FRAME STA 827 WAS REPAIRED I.A.W. B737-800 CARD 2526-01236-02B, SECTION 02. (LP 0255939)"
